MetaT k13_genus,MetaT k12_genus,Deep_genus,MetaT k13_species,MetaT k12_species,Deep_species
0.9882,0.9828,1.0000,0.3584,0.1887,0.0458
0.9850,0.9822,0.9970,0.1645,0.0678,0.0129
0.9857,0.9797,0.9970,0.9772,0.9454,0.6804
0.9881,0.9827,0.9985,0.9912,0.9902,0.9955
0.9886,0.9830,1.0000,0.1707,0.0769,0.0430
0.9881,0.9828,1.0000,0.9892,0.9896,0.9950
0.9884,0.9828,1.0000,0.9992,0.9984,0.9771
0.9819,0.9785,0.9950,0.1783,0.0700,0.0262
0.9889,0.9833,1.0000,0.9558,0.9355,0.9166
0.9882,0.9822,0.9988,0.9652,0.9641,0.9791
0.9885,0.9827,0.9997,0.9929,0.9926,0.9767
0.9871,0.9817,0.9989,0.6947,0.0106,0.0094
0.9888,0.9827,1.0000,0.6301,0.3372,0.1239
0.9884,0.9830,1.0000,0.9291,0.8723,0.7068
0.9884,0.9831,1.0000,0.9704,0.9699,0.9955
0.9883,0.9829,1.0000,0.9641,0.9591,0.9325
0.8919,0.8938,0.8187,0.2307,0.0938,0.0373
0.3997,0.3940,0.9996,0.9742,0.9113,0.5908
0.9886,0.9829,1.0000,0.9698,0.9668,0.9560
0.9889,0.9832,1.0000,0.9756,0.9748,0.9391
0.9883,0.9827,0.9997,0.9481,0.9232,0.9442
0.9887,0.9829,0.9998,0.9736,0.9628,0.9483
0.9881,0.9825,0.9996,0.9803,0.9789,0.9249
0.9493,0.9490,0.9618,0.9674,0.9487,0.8822
0.9881,0.9828,1.0000,0.9529,0.9405,0.9034
0.9886,0.9830,0.9999,0.9680,0.9571,0.8999
0.9887,0.9829,0.9998,0.8020,0.4804,0.4269
0.9880,0.9829,1.0000,0.8622,0.5451,0.5446
0.9887,0.9831,0.9999,0.9964,0.9941,0.9891
0.9604,0.9424,0.9134,0.9955,0.9938,0.9457
0.9863,0.9827,0.9992,0.9503,0.9378,0.9081
0.9885,0.9830,0.9999,0.2106,0.0766,0.0257
0.4665,0.4608,1.0000,0.9466,0.9422,0.9542
0.9881,0.9827,1.0000,0.9633,0.9546,0.8126
0.9884,0.9830,0.9999,0.9605,0.9518,0.9446
0.9886,0.9830,1.0000,0.2028,0.0794,0.0191
0.9878,0.9825,0.9991,0.9801,0.9692,0.8352
0.9884,0.9831,1.0000,0.9762,0.8851,0.7406
0.9709,0.9727,0.9842,0.9797,0.9664,0.9075
0.9741,0.9717,0.9891,0.9689,0.9682,0.9831
0.9884,0.9829,0.9999,0.1639,0.0649,0.0171
0.9779,0.9759,0.9903,0.1985,0.0812,0.0125
0.9694,0.9570,0.9645,0.9233,0.8747,0.7727
0.9795,0.9729,0.9761,0.9978,0.9776,0.8897
0.9879,0.9826,0.9997,0.9414,0.8928,0.8591
0.9870,0.9815,0.9960,0.9663,0.9663,0.9925
0.9882,0.9830,0.9996,0.9710,0.9527,0.9384
0.9885,0.9831,1.0000,0.9772,0.9778,0.9721
0.9493,0.9163,0.8988,0.9303,0.7687,0.8174
0.9883,0.9829,1.0000,0.9742,0.8083,0.4899
0.9884,0.9828,1.0000,0.9302,0.7594,0.6986
0.9887,0.9831,1.0000,0.8633,0.0001,0.0017
0.9882,0.9822,0.9993,0.9741,0.9275,0.7958
0.9879,0.9828,1.0000,0.1599,0.0624,0.0078
0.9885,0.9828,0.9998,0.9754,0.9395,0.7383
0.9886,0.9832,1.0000,0.9677,0.9653,0.9727
0.9888,0.9831,1.0000,0.9211,0.8198,0.6232
0.9777,0.9681,0.9826,0.9692,0.9603,0.9017
0.9885,0.9830,0.9999,0.9479,0.8471,0.8404
0.9789,0.9728,0.9846,0.7531,0.3688,0.1260
0.9882,0.9828,0.9996,0.1403,0.0617,0.0207
0.9882,0.9829,0.9997,0.9871,0.9839,0.9537
0.9884,0.9830,1.0000,0.9469,0.9085,0.8847
0.9615,0.9621,0.9702,0.9969,0.9818,0.8708
0.9875,0.9820,0.9991,0.9636,0.9634,0.9932
0.9836,0.9819,0.9986,0.9659,0.9654,0.9638
0.9882,0.9828,1.0000,0.6435,0.3017,0.0551
0.9820,0.9811,0.9956,0.9676,0.9643,0.9174
0.9881,0.9825,0.9995,0.9770,0.9744,0.9608
0.9884,0.9829,0.9999,0.9848,0.9783,0.8720
0.9048,0.8635,0.7335,0.9885,0.9838,0.9665
0.9435,0.9274,0.8912,0.9900,0.9899,0.9965
0.9793,0.9749,0.9923,0.9554,0.8960,0.5639
0.9886,0.9830,1.0000,0.9679,0.9668,0.9740
0.9818,0.9766,0.9870,0.9789,0.9733,0.9742
0.9876,0.9822,0.9992,0.9781,0.9747,0.8967
0.9875,0.9815,0.9983,0.4566,0.0334,0.0078
0.9887,0.9830,1.0000,0.9616,0.9029,0.7899
0.9706,0.9678,0.9891,0.9336,0.9382,0.9226
0.9881,0.9828,1.0000,0.9739,0.9644,0.9840
0.9863,0.9799,0.9986,0.9616,0.9080,0.5956
0.9885,0.9828,1.0000,0.9801,0.9803,0.9906
0.9876,0.9819,0.9994,0.9866,0.9819,0.8652
0.9886,0.9830,1.0000,0.9856,0.9824,0.9620
0.9885,0.9829,0.9997,0.9577,0.9477,0.9739
0.9873,0.9821,0.9991,0.9507,0.6623,0.4178
0.9875,0.9817,0.9990,0.9715,0.9711,0.9889
0.9885,0.9828,0.9999,0.9782,0.9200,0.7772
0.9884,0.9830,1.0000,0.0768,0.0361,0.0080
0.9877,0.9829,0.9997,0.8547,0.8084,0.4258
0.9862,0.9806,0.9973,0.9776,0.9762,0.9851
0.9883,0.9829,1.0000,0.9761,0.9562,0.7878
0.9888,0.9831,1.0000,0.3548,0.3002,0.1369
0.9887,0.9830,1.0000,0.9683,0.6815,0.3372
0.6868,0.6813,1.0000,0.3050,0.1896,0.0497
0.9885,0.9830,1.0000,0.9882,0.9865,0.9834
0.9885,0.9831,1.0000,0.9876,0.9869,0.9935
0.9883,0.9827,0.9999,0.7192,0.2033,0.0807
0.9884,0.9829,1.0000,0.9573,0.9559,0.9311
0.9800,0.9782,0.9917,0.9894,0.9812,0.9271
0.9838,0.9780,0.9944,0.2052,0.1154,0.0128
0.9888,0.9832,1.0000,0.9765,0.9758,0.9735
0.9870,0.9816,0.9987,0.9726,0.9725,0.9939
0.9882,0.9825,0.9994,0.9679,0.9568,0.9596
0.9884,0.9830,0.9998,0.8602,0.0204,0.0092
0.9865,0.9807,0.9979,0.9711,0.9705,0.9778
0.9885,0.9828,1.0000,0.1431,0.0660,0.0160
0.9841,0.9801,0.9959,0.9328,0.8980,0.9075
0.9882,0.9827,1.0000,0.9728,0.9399,0.9740
0.9877,0.9822,0.9992,0.9679,0.9675,0.9767
0.9881,0.9826,0.9999,0.9783,0.9630,0.7570
0.9887,0.9830,0.9999,0.8729,0.0247,0.0099
0.9876,0.9827,0.9996,0.0819,0.0417,0.0128
0.9884,0.9830,1.0000,0.9746,0.9741,0.9871
0.9883,0.9828,0.9997,0.9850,0.9816,0.9722
0.9842,0.9792,0.9963,0.9595,0.9490,0.8900
0.9799,0.9732,0.9926,0.6797,0.6221,0.4099
0.9883,0.9828,1.0000,0.9879,0.9877,0.9980
0.9881,0.9832,1.0000,0.9777,0.9770,0.9918
0.9884,0.9830,1.0000,0.0301,0.0000,0.0008
,,,0.9709,0.9714,0.9456
,,,0.9669,0.9563,0.8992
,,,0.9898,0.9861,0.9749
,,,0.5845,0.4476,0.2472
,,,0.6118,0.0673,0.0159
,,,0.9357,0.9413,0.8673
,,,0.9523,0.9282,0.7350
,,,0.9938,0.9869,0.8713
,,,0.9912,0.9879,0.9692
,,,0.9522,0.2877,0.1449
,,,0.7735,0.6703,0.3546
,,,0.9682,0.8965,0.7909
,,,0.9819,0.9833,0.9734
,,,0.9807,0.9793,0.9220
,,,0.9681,0.9651,0.9832
,,,0.9922,0.9904,0.9312
,,,0.9723,0.7935,0.4076
,,,0.9719,0.9692,0.9925
,,,0.9680,0.9671,0.9811
,,,0.8517,0.0330,0.0266
,,,0.1644,0.0309,0.0059
,,,0.9800,0.9786,0.9715
,,,0.9855,0.9659,0.7942
,,,0.1512,0.0540,0.0083
,,,0.9959,0.9927,0.9625
,,,0.1652,0.0651,0.0242
,,,0.9689,0.9182,0.6272
,,,0.9816,0.9801,0.9044
,,,0.9685,0.9674,0.9547
,,,0.8956,0.2257,0.1370
,,,0.9605,0.6133,0.2385
,,,0.9713,0.9714,0.9812
,,,0.0913,0.0478,0.0254
,,,0.4064,0.3323,0.2244
,,,0.9430,0.3976,0.2213
,,,0.9847,0.9850,0.9856
,,,0.9789,0.9784,0.9983
,,,0.9615,0.9557,0.8934
,,,0.1176,0.0727,0.0165
,,,0.9657,0.6465,0.2064
,,,0.6244,0.6937,0.6975
,,,0.9829,0.9802,0.9742
,,,0.2627,0.0861,0.0230
,,,0.9546,0.9464,0.9669
,,,0.1915,0.0845,0.0136
,,,0.9668,0.9273,0.8722
,,,0.9575,0.9618,0.8674
,,,0.9894,0.9897,0.9771
,,,0.9968,0.9966,0.9975
,,,0.9614,0.9607,0.9481
,,,0.9700,0.9621,0.8276
,,,0.9689,0.9664,0.9933
,,,0.9851,0.9825,0.9839
,,,0.9686,0.9641,0.9811
,,,0.9815,0.8300,0.3556
,,,0.9592,0.8641,0.4799
,,,0.9813,0.9780,0.9898
,,,0.9864,0.9749,0.8231
,,,0.9562,0.8520,0.8429
,,,0.3405,0.2644,0.1290
,,,0.9558,0.9639,0.9260
,,,0.9865,0.9866,0.9919
,,,0.9795,0.5056,0.2778
,,,0.9713,0.9450,0.7848
,,,0.9133,0.9064,0.7849
,,,0.9708,0.9703,0.9960
,,,0.9254,0.4561,0.2097
,,,0.9812,0.9607,0.9460
,,,0.9793,0.6515,0.3304
,,,0.9765,0.9765,0.9983
,,,0.9889,0.9694,0.7721
,,,0.9664,0.9532,0.8413
,,,0.1932,0.0835,0.0370
,,,0.9735,0.9725,0.9737
,,,0.9683,0.9672,0.9818
,,,0.9610,0.8587,0.7396
,,,0.9880,0.9873,0.9793
,,,0.7111,0.3325,0.1473
,,,0.9843,0.9849,0.9816
,,,0.9452,0.8390,0.8331
,,,0.9544,0.9504,0.9544
,,,0.9767,0.7959,0.2878
,,,0.9049,0.7510,0.6128
,,,0.9664,0.9445,0.7478
,,,0.9587,0.9490,0.7745
,,,0.2493,0.1081,0.0210
,,,0.9438,0.9137,0.8612
,,,0.9736,0.9707,0.9771
,,,0.9719,0.9717,0.9314
,,,0.2171,0.0508,0.0080
,,,0.8678,0.5045,0.5073
,,,0.9940,0.9646,0.6754
,,,0.9544,0.9560,0.9826
,,,0.9761,0.9742,0.9689
,,,0.9671,0.9648,0.9602
,,,0.1579,0.0897,0.0200
,,,0.9664,0.9662,0.9951
,,,0.9651,0.9612,0.9635
,,,0.9452,0.9241,0.7897
,,,0.9932,0.9914,0.9821
,,,0.9457,0.5799,0.2019
,,,0.9502,0.9333,0.9842
,,,0.9202,0.7421,0.3265
,,,0.9694,0.9222,0.7448
,,,0.9870,0.5834,0.2609
,,,0.9617,0.8580,0.5286
,,,0.9659,0.9471,0.8400
,,,0.9654,0.9620,0.9573
,,,0.9794,0.9776,0.9956
,,,0.9930,0.9844,0.9079
,,,0.9554,0.9430,0.8777
,,,0.9693,0.8253,0.3713
,,,0.9869,0.9848,0.9931
,,,0.9923,0.9914,0.9889
,,,0.9037,0.8580,0.5591
,,,0.9663,0.9623,0.9351
,,,0.9743,0.9541,0.7338
,,,0.9694,0.9711,0.9470
,,,0.1428,0.0685,0.0282
,,,0.9637,0.9637,0.9496
,,,0.1965,0.1038,0.0169
,,,0.9725,0.9709,0.9529
,,,0.9535,0.9416,0.8829
,,,0.9399,0.7801,0.4545
,,,0.9783,0.9784,0.9873
,,,0.9748,0.9774,0.9712
,,,0.9744,0.9732,0.9764
,,,0.9695,0.9674,0.9466
,,,0.9840,0.8610,0.5292
,,,0.6520,0.4530,0.1704
,,,0.9700,0.9700,0.9853
,,,0.9468,0.8479,0.5494
,,,0.9570,0.6819,0.5792
,,,0.8984,0.3148,0.1114
,,,0.9223,0.8719,0.5212
,,,0.9643,0.9624,0.9286
,,,0.9758,0.9750,0.9810
,,,0.1807,0.0425,0.0133
,,,0.9814,0.9810,0.9975
,,,0.9752,0.8265,0.3130
,,,0.9921,0.9890,0.9090
,,,0.9622,0.8138,0.3820
,,,0.9288,0.4510,0.5273
,,,0.9805,0.9648,0.9200
,,,0.9801,0.9788,0.9823
,,,0.9054,0.9009,0.7348
,,,0.9836,0.9754,0.9788
,,,0.8786,0.7693,0.4529
,,,0.9706,0.9526,0.7995
,,,0.9078,0.7812,0.7943
,,,0.9679,0.9644,0.9062
,,,0.0531,0.0175,0.0075
,,,0.9717,0.9713,0.9536
,,,0.8846,0.6503,0.5050
,,,0.9606,0.9458,0.8483
,,,0.9625,0.9621,0.9423
,,,0.1000,0.0356,0.0184
,,,0.0834,0.0373,0.0134
,,,0.2899,0.1091,0.0110
,,,0.9701,0.9729,0.9937
,,,0.9749,0.9739,0.9965
,,,0.9540,0.9591,0.9793
,,,0.9824,0.9784,0.9158
,,,0.9002,0.4146,0.3658
,,,0.5656,0.0001,0.0036
,,,0.8455,0.7289,0.3899
,,,0.9838,0.9838,0.9608
,,,0.9452,0.1988,0.0957
,,,0.9369,0.8954,0.9201
,,,0.9501,0.9483,0.8942
,,,0.9789,0.9781,0.9923
,,,0.9749,0.9599,0.8235
,,,0.9518,0.8823,0.5705
,,,0.9584,0.9516,0.8914
,,,0.2148,0.0562,0.0229
,,,0.9694,0.9674,0.9757
,,,0.9601,0.9607,0.9545
,,,0.9574,0.9555,0.9553
,,,0.9707,0.9680,0.9685
,,,0.1565,0.0814,0.0293
,,,0.9203,0.9002,0.9200
,,,0.9731,0.9370,0.6428
,,,0.9561,0.9551,0.9880
,,,0.6254,0.3664,0.2316
,,,0.9211,0.9671,0.9168
,,,0.9745,0.9617,0.9043
,,,0.9480,0.8357,0.3534
,,,0.2971,0.2149,0.0937
,,,0.9671,0.8864,0.6993
,,,0.9776,0.9722,0.9620
,,,0.9768,0.9708,0.8208
,,,0.9972,0.9965,0.9965
,,,0.9570,0.9573,0.9523
,,,0.7832,0.5797,0.2664
,,,0.9295,0.9101,0.6240
,,,0.9879,0.9854,0.8602
,,,0.9673,0.9522,0.8760
,,,0.9953,0.9946,0.9676
,,,0.9574,0.9590,0.9473
,,,0.9460,0.9499,0.9657
,,,0.6712,0.4856,0.1617
,,,0.9954,0.9957,0.9951
,,,0.9640,0.9472,0.9407
,,,0.9767,0.9762,0.9852
,,,0.9786,0.2846,0.1313
,,,0.9069,0.8091,0.5647
,,,0.9845,0.9826,0.9675
,,,0.9824,0.8280,0.5300
,,,0.9548,0.9502,0.9231
,,,0.9725,0.9646,0.9631
,,,0.9472,0.8419,0.4990
,,,0.9798,0.9795,0.9973
,,,0.9881,0.9866,0.9334
,,,0.9761,0.9637,0.7015
,,,0.9587,0.9475,0.9099
,,,0.9911,0.9900,0.9674
,,,0.9898,0.9900,0.9680
,,,0.7718,0.4432,0.1319
,,,0.9875,0.9851,0.9821
,,,0.9686,0.9684,0.9931
,,,0.9633,0.9582,0.9839
,,,0.9433,0.7807,0.4036
,,,0.9654,0.9578,0.9427
,,,0.9809,0.9767,0.8990
,,,0.8756,0.5160,0.2565
,,,0.2570,0.1602,0.0445
,,,0.2811,0.0681,0.0116
,,,0.9601,0.9597,0.9951
,,,0.1140,0.0410,0.0083
,,,0.9842,0.9834,0.9913
,,,0.9738,0.9504,0.7373
,,,0.1694,0.0628,0.0149
,,,0.9854,0.9808,0.9723
,,,0.2572,0.0542,0.0062
,,,0.9658,0.9609,0.9525
,,,0.2892,0.1434,0.0157
,,,0.9582,0.9451,0.9698
,,,0.9403,0.8549,0.8315
,,,0.0630,0.0282,0.0102
,,,0.6042,0.1978,0.0799
,,,0.9623,0.9590,0.9377
,,,0.9712,0.9694,0.9939
,,,0.9633,0.9614,0.9665
,,,0.9379,0.6302,0.5744
,,,0.9839,0.9496,0.5895
,,,0.9337,0.7696,0.7153
,,,0.8498,0.8047,0.6677
,,,0.9491,0.9397,0.9172
,,,0.9852,0.9844,0.9874
,,,0.9496,0.9239,0.6509
,,,0.9734,0.9645,0.9570
,,,0.4106,0.0376,0.0434
,,,0.0635,0.0122,0.0034
,,,0.9184,0.8634,0.6208
,,,0.9426,0.9222,0.8005
,,,0.9928,0.9900,0.9829
,,,0.2139,0.0953,0.0232
,,,0.9175,0.8690,0.8221
,,,0.9468,0.9134,0.9624
,,,0.9913,0.9912,0.9941
,,,0.9916,0.9911,0.9873
,,,0.9592,0.9496,0.7109
,,,0.9904,0.9903,0.9979
,,,0.9825,0.9813,0.9873
,,,0.9309,0.8558,0.5728
,,,0.9453,0.4654,0.1626
,,,0.9390,0.9326,0.8782
,,,0.5432,0.3162,0.1277
,,,0.9672,0.9577,0.9226
,,,0.9401,0.9228,0.7464
,,,0.9498,0.9331,0.7068
,,,0.9837,0.9772,0.9100
,,,0.9073,0.7911,0.3429
,,,0.9602,0.9527,0.8278
,,,0.8904,0.5999,0.5006
,,,0.9806,0.9791,0.9790
,,,0.9718,0.9678,0.9431
,,,0.1525,0.0530,0.0109
,,,0.8517,0.6463,0.4279
,,,0.9659,0.9507,0.8422
,,,0.9808,0.9758,0.9430
,,,0.2063,0.0732,0.0133
,,,0.1815,0.0724,0.0171
,,,0.9615,0.3536,0.1268
,,,0.9769,0.9568,0.7736
,,,0.9676,0.9666,0.9566
,,,0.9289,0.6229,0.5068
,,,0.9838,0.9838,0.9937
,,,0.9730,0.7910,0.3235
,,,0.2073,0.0780,0.0294
,,,0.9688,0.9663,0.9722
,,,0.9697,0.9670,0.9907
,,,0.9767,0.9724,0.9048
,,,0.9722,0.9720,0.9846
,,,0.9608,0.9184,0.8079
,,,0.7229,0.2414,0.1851
,,,0.1552,0.0454,0.0087
,,,0.9625,0.7731,0.5252
,,,0.9818,0.9727,0.9353
,,,0.5645,0.7240,0.6680
,,,0.1458,0.0715,0.0160
,,,0.9680,0.9627,0.9317
,,,0.9926,0.9917,0.9936
,,,0.9644,0.9627,0.9436
,,,0.1552,0.0000,0.0000
,,,0.7288,0.4523,0.3247
,,,0.1268,0.0585,0.0113
,,,0.9911,0.9856,0.9752
,,,0.1884,0.0950,0.0218
,,,0.9727,0.9713,0.9602
,,,0.9681,0.8954,0.4162
,,,0.2046,0.0570,0.0169
,,,0.9142,0.8232,0.4580
,,,0.9471,0.9328,0.8895
,,,0.9714,0.9626,0.8379
,,,0.9566,0.5073,0.2724
,,,0.9264,0.8893,0.7883
,,,0.9700,0.9699,0.9792
,,,0.9406,0.7821,0.5924
,,,0.9383,0.9328,0.9137
,,,0.2646,0.2026,0.0358
,,,0.9963,0.9875,0.8975
,,,0.2258,0.1573,0.0212
,,,0.9947,0.9849,0.9533
,,,0.9516,0.7758,0.3726
,,,0.0925,0.0436,0.0130
,,,0.5225,0.3823,0.1990
,,,0.9985,0.9985,0.9996
,,,0.9751,0.9672,0.9787
,,,0.9586,0.9541,0.8410
,,,0.9600,0.4535,0.1973
,,,0.9754,0.9739,0.9895
,,,0.9806,0.9756,0.9280
,,,0.9622,0.9622,0.9589
,,,0.9777,0.9684,0.8998
,,,0.8426,0.5815,0.3863
,,,0.9678,0.9665,0.9462
,,,0.9978,0.9975,0.9798
,,,0.9583,0.9376,0.9527
,,,0.9397,0.9076,0.5331
,,,0.9859,0.5542,0.2549
,,,0.9891,0.9886,0.9965
,,,0.8056,0.0974,0.0817
,,,0.9829,0.9737,0.8961
,,,0.9782,0.9765,0.9793
,,,0.9495,0.9413,0.9001
,,,0.1521,0.0645,0.0185
,,,0.9584,0.9264,0.7435
,,,0.1985,0.0875,0.0077
,,,0.1281,0.0420,0.0116
,,,0.9715,0.9634,0.8027
,,,0.6872,0.2880,0.0720
,,,0.0856,0.0420,0.0111
,,,0.9640,0.9638,0.9977
,,,0.9060,0.6071,0.2235
,,,0.9892,0.9890,0.9985
,,,0.9761,0.9749,0.9929
,,,0.9946,0.9871,0.9580
,,,0.9668,0.9664,0.9598
,,,0.9519,0.2570,0.1025
,,,0.9700,0.7649,0.7430
,,,0.9675,0.9006,0.8676
,,,0.9175,0.5945,0.3427
,,,0.9967,0.9922,0.9919
,,,0.9859,0.9839,0.9429
,,,0.9884,0.9823,0.9603
,,,0.8491,0.0309,0.0068
,,,0.1207,0.0465,0.0065
,,,0.9706,0.5437,0.2837
,,,0.9472,0.9335,0.9081
,,,0.7963,0.0295,0.0255
,,,0.1184,0.0512,0.0158
,,,0.9721,0.9715,0.9725
,,,0.1310,0.0470,0.0176
,,,0.9478,0.8865,0.6773
,,,0.9464,0.9388,0.8911
,,,0.9715,0.9712,0.9864
,,,0.9766,0.9750,0.9807
,,,0.9666,0.5143,0.1638
,,,0.9681,0.9654,0.9625
,,,0.9645,0.9621,0.9487
,,,0.2915,0.0741,0.0293
,,,0.7096,0.0443,0.0191
,,,0.9520,0.9468,0.9792
,,,0.9949,0.9943,0.9873
,,,0.9767,0.9768,0.9807
,,,0.9668,0.9665,0.9987
,,,0.9808,0.9601,0.7849
,,,0.9895,0.9861,0.8645
,,,0.9685,0.9640,0.9037
,,,0.9857,0.4969,0.1636
,,,0.4312,0.1813,0.0343
,,,0.9612,0.8386,0.5870
,,,0.9495,0.9477,0.9632
,,,0.1471,0.0780,0.0322
,,,0.8380,0.6390,0.2725
,,,0.9638,0.9161,0.9233
,,,0.9883,0.9851,0.8995
,,,0.9439,0.8995,0.8516
,,,0.9027,0.6536,0.3827
,,,0.4794,0.1904,0.0554
,,,0.9611,0.9384,0.9285
,,,0.9864,0.9741,0.9775
,,,0.9304,0.8437,0.4420
,,,0.9671,0.9219,0.7539
,,,0.9755,0.9754,0.9901
,,,0.9678,0.9673,0.9560
,,,0.9440,0.8746,0.7468
,,,0.9636,0.9610,0.9564
,,,0.9788,0.9784,0.9925
,,,0.9691,0.9685,0.9982
,,,0.9793,0.9732,0.9094
,,,0.9449,0.8942,0.7328
,,,0.9540,0.9473,0.9648
,,,0.9208,0.9504,0.8803
,,,0.9507,0.9515,0.9610
,,,0.9700,0.9700,0.9937
,,,0.9966,0.9954,0.9528
,,,0.9640,0.9475,0.9452
,,,0.9683,0.9566,0.8989
,,,0.9789,0.9791,0.9885
,,,0.9353,0.0996,0.0473
,,,0.9396,0.3833,0.1485
,,,0.9091,0.8781,0.7149
,,,0.9721,0.9711,0.9530
,,,0.9721,0.9461,0.8626
,,,0.9480,0.9425,0.9653
,,,0.9691,0.9424,0.8417
,,,0.9763,0.6966,0.4986
,,,0.9771,0.9770,0.9631
,,,0.9779,0.9758,0.9443
,,,0.9649,0.9633,0.9734
,,,0.7973,0.0474,0.0763
,,,0.9900,0.9892,0.9907
,,,0.9498,0.9457,0.9660
