MetaT k13_genus,MetaT k12_genus,Deep_genus,MetaT k13_species,MetaT k12_species,Deep_species
,,,0.8269,0.1181,0.0523
,,,0.9771,0.9765,0.9809
,,,0.9894,0.9883,0.9392
,,,0.9632,0.9557,0.9836
,,,0.9834,0.8452,0.5418
,,,0.8376,0.1393,0.0296
,,,0.9949,0.9923,0.9898
,,,0.8151,0.6612,0.6024
,,,0.9460,0.8146,0.7625
,,,0.8165,0.0265,0.0264
,,,0.9690,0.9570,0.9782
,,,0.0940,0.0298,0.0094
,,,0.9740,0.9697,0.9428
,,,0.9619,0.8847,0.6128
,,,0.8336,0.4893,0.2912
,,,0.8750,0.7954,0.8187
,,,0.9855,0.9835,0.9968
,,,0.2138,0.0871,0.0149
,,,0.9871,0.9865,0.9554
,,,0.9882,0.9851,0.9811
,,,0.9791,0.9755,0.9253
,,,0.2250,0.0924,0.0284
,,,0.9948,0.9947,0.9994
,,,0.9496,0.9397,0.9113
,,,0.9908,0.9857,0.9647
,,,0.9497,0.9413,0.8882
,,,0.9849,0.9836,0.9406
,,,0.9042,0.9662,0.9546
,,,0.9656,0.9640,0.9936
,,,0.9734,0.9677,0.8408
,,,0.9666,0.9135,0.5954
,,,0.9664,0.9634,0.9504
,,,0.3083,0.2434,0.0652
,,,0.9890,0.9851,0.9907
,,,0.9686,0.9638,0.9426
,,,0.9929,0.8738,0.7346
,,,0.9846,0.9767,0.8957
,,,0.9915,0.9071,0.6690
,,,0.6010,0.2876,0.1635
,,,0.9906,0.9884,0.9489
,,,0.9741,0.9223,0.8583
,,,0.9662,0.9624,0.9494
,,,0.8328,0.4286,0.5468
,,,0.9813,0.9801,0.9473
,,,0.7300,0.1158,0.1223
,,,0.9147,0.8485,0.5561
,,,0.9881,0.9861,0.9902
,,,0.9699,0.9689,0.9910
,,,0.2906,0.1592,0.0271
,,,0.9553,0.9551,0.9636
,,,0.9459,0.4770,0.1536
,,,0.9722,0.9666,0.8653
,,,0.9729,0.9627,0.9427
,,,0.9727,0.9726,0.9924
,,,0.9574,0.9480,0.8743
,,,0.9657,0.9656,0.9452
,,,0.9782,0.9130,0.6093
,,,0.9712,0.9679,0.9538
,,,0.9778,0.9766,0.9936
,,,0.9916,0.9903,0.9692
,,,0.9691,0.9243,0.7029
,,,0.9569,0.8996,0.6895
,,,0.9799,0.9527,0.9387
,,,0.9689,0.9437,0.8084
,,,0.9670,0.9637,0.9618
,,,0.9710,0.9552,0.7620
,,,0.9915,0.9915,0.9974
,,,0.9260,0.8375,0.4070
,,,0.9830,0.9781,0.9643
,,,0.8451,0.4345,0.3051
,,,0.8415,0.5638,0.3842
,,,0.9569,0.9411,0.8339
,,,0.1257,0.0520,0.0187
,,,0.9830,0.9780,0.9159
,,,0.1735,0.0771,0.0217
,,,0.9734,0.9707,0.9368
,,,0.9842,0.9838,0.9836
,,,0.9859,0.9842,0.9679
,,,0.9615,0.9054,0.5676
,,,0.8433,0.7112,0.3796
,,,0.9770,0.9376,0.6798
,,,0.9372,0.9143,0.6912
,,,0.2973,0.0000,0.0010
,,,0.9697,0.9643,0.9568
,,,0.1696,0.0835,0.0095
,,,0.9740,0.9745,0.9973
,,,0.9717,0.9673,0.9756
,,,0.9341,0.6957,0.6112
,,,0.9326,0.7335,0.6641
,,,0.9748,0.9711,0.9578
,,,0.0834,0.0342,0.0121
,,,0.9953,0.9968,0.9930
,,,0.9889,0.9790,0.9812
,,,0.9370,0.9107,0.8256
,,,0.8358,0.5111,0.4045
,,,0.1069,0.0374,0.0061
,,,0.9676,0.9693,0.8634
,,,0.9860,0.9858,0.9956
,,,0.9297,0.9064,0.7911
,,,0.8923,0.7265,0.7991
,,,0.9639,0.9634,0.9803
,,,0.9447,0.9300,0.7472
,,,0.9333,0.9616,0.8995
,,,0.9572,0.9567,0.8689
,,,0.1055,0.0329,0.0075
,,,0.3595,0.0482,0.0240
,,,0.8213,0.0233,0.0297
,,,0.9726,0.9710,0.9952
,,,0.9891,0.9867,0.9257
,,,0.9591,0.1217,0.0709
,,,0.9347,0.4596,0.2185
,,,0.9887,0.9885,0.9955
,,,0.7663,0.5626,0.4529
,,,0.9441,0.8909,0.7611
,,,0.9481,0.7873,0.5405
,,,0.9841,0.9834,0.9748
,,,0.9869,0.9658,0.9716
,,,0.9532,0.9307,0.8023
,,,0.8954,0.7848,0.7103
,,,0.9637,0.9599,0.9432
,,,0.9591,0.9481,0.7509
,,,0.9222,0.3532,0.3112
,,,0.7713,0.1511,0.0894
,,,0.3438,0.1800,0.0786
,,,0.2984,0.1379,0.0308
,,,0.9839,0.6182,0.2063
,,,0.8628,0.0736,0.0346
,,,0.9608,0.9239,0.6767
,,,0.9117,0.8634,0.8362
,,,0.9648,0.8961,0.8453
,,,0.9493,0.9331,0.7594
,,,0.1421,0.0277,0.0023
,,,0.9552,0.9516,0.9159
,,,0.9538,0.5246,0.2823
,,,0.9866,0.7063,0.3066
,,,0.9753,0.9742,0.9695
,,,0.9712,0.9714,0.9977
,,,0.1345,0.0455,0.0055
,,,0.9682,0.6879,0.2205
,,,0.1459,0.0434,0.0191
,,,0.9439,0.7834,0.3298
,,,0.9793,0.9774,0.9624
,,,0.9805,0.9805,0.9703
,,,0.0968,0.0299,0.0128
,,,0.9715,0.9319,0.6616
,,,0.9861,0.9767,0.9736
,,,0.9767,0.9765,0.9422
,,,0.9351,0.9113,0.8225
,,,0.9322,0.8606,0.6771
,,,0.9818,0.9675,0.9553
,,,0.9582,0.9200,0.8329
,,,0.9161,0.5801,0.4272
,,,0.9578,0.9557,0.9590
,,,0.9633,0.9583,0.9557
,,,0.9591,0.9591,0.9327
,,,0.9716,0.9663,0.8993
,,,0.9195,0.8603,0.6185
,,,0.2051,0.0671,0.0170
,,,0.9976,0.9950,0.9677
,,,0.9748,0.9718,0.9372
,,,0.1905,0.0873,0.0371
,,,0.9926,0.9925,0.9961
,,,0.9771,0.9754,0.9810
,,,0.9587,0.9426,0.7771
,,,0.9692,0.9709,0.8982
,,,0.9680,0.9109,0.7186
,,,0.1912,0.0570,0.0133
,,,0.9716,0.9701,0.9513
,,,0.9973,0.9962,0.9881
,,,0.0093,0.0000,0.0000
,,,0.7746,0.5172,0.2232
,,,0.9680,0.9608,0.8600
,,,0.9693,0.9690,0.9970
,,,0.8639,0.6357,0.6840
,,,0.9583,0.9608,0.9668
,,,0.2714,0.1179,0.0393
,,,0.1740,0.0799,0.0130
,,,0.9894,0.9885,0.9747
,,,0.8685,0.6905,0.2998
,,,0.1475,0.0470,0.0131
,,,0.9780,0.9645,0.8234
,,,0.8493,0.7313,0.2934
,,,0.9845,0.9845,0.9973
,,,0.8911,0.8028,0.7896
,,,0.0724,0.0312,0.0034
,,,0.9820,0.9801,0.9753
,,,0.9446,0.8852,0.5339
,,,0.9776,0.9735,0.9447
,,,0.9867,0.9865,0.9952
,,,0.9827,0.9816,0.9875
,,,0.9760,0.9606,0.8479
,,,0.0889,0.0216,0.0096
,,,0.9263,0.8649,0.7599
,,,0.9756,0.9704,0.9381
,,,0.9939,0.9905,0.9787
,,,0.9609,0.9571,0.9812
,,,0.1559,0.0380,0.0057
,,,0.5849,0.3087,0.0951
,,,0.9722,0.9727,0.9612
,,,0.9676,0.9657,0.9808
,,,0.9770,0.9685,0.9582
,,,0.9876,0.9860,0.9733
,,,0.9791,0.9639,0.7773
,,,0.9732,0.9735,0.9935
,,,0.9139,0.7122,0.3752
,,,0.9936,0.9905,0.9761
,,,0.9892,0.9882,0.9637
,,,0.8639,0.1398,0.0650
,,,0.9615,0.4858,0.1754
,,,0.9872,0.9840,0.9691
,,,0.8976,0.6495,0.4268
,,,0.9416,0.9291,0.8561
,,,0.9809,0.9725,0.9560
,,,0.9611,0.9622,0.9627
,,,0.9716,0.9703,0.9879
,,,0.9108,0.4207,0.2886
,,,0.3518,0.2147,0.0668
,,,0.1696,0.0881,0.0302
,,,0.9926,0.9887,0.9674
,,,0.9746,0.9718,0.9656
,,,0.9019,0.7387,0.8172
,,,0.9707,0.9623,0.9601
,,,0.9761,0.9766,0.9825
,,,0.9807,0.9403,0.6306
,,,0.9813,0.9791,0.9641
,,,0.9841,0.9811,0.9671
,,,0.6840,0.2804,0.1587
,,,0.2121,0.0801,0.0185
,,,0.9560,0.9517,0.9317
,,,0.9944,0.9941,0.9747
,,,0.8476,0.0455,0.0110
,,,0.9673,0.9477,0.7381
,,,0.9766,0.9758,0.9962
,,,0.9621,0.9558,0.8419
,,,0.2913,0.1254,0.0209
,,,0.9843,0.9833,0.9902
,,,0.9743,0.9675,0.9248
,,,0.9769,0.9756,0.9748
,,,0.8463,0.6759,0.4033
,,,0.9730,0.9595,0.8397
,,,0.9804,0.9595,0.7936
,,,0.6321,0.1073,0.0469
,,,0.9828,0.9809,0.9767
,,,0.9738,0.9743,0.9970
,,,0.9861,0.9856,0.9667
,,,0.9775,0.9766,0.9859
,,,0.9921,0.9880,0.9371
,,,0.9806,0.9798,0.9925
,,,0.9864,0.9850,0.9984
,,,0.9365,0.8854,0.7898
,,,0.9211,0.1236,0.0598
,,,0.9861,0.9825,0.9630
,,,0.3123,0.0982,0.0142
,,,0.9489,0.9449,0.9433
,,,0.9691,0.9566,0.8414
,,,0.9945,0.9920,0.9736
,,,0.9662,0.9653,0.9891
,,,0.9925,0.9927,0.9954
,,,0.9606,0.9408,0.8790
,,,0.9412,0.9266,0.8754
,,,0.9581,0.9538,0.9536
,,,0.9598,0.9055,0.7089
,,,0.1691,0.0599,0.0125
,,,0.9658,0.9649,0.9473
,,,0.9330,0.8383,0.5049
,,,0.9569,0.9538,0.8873
,,,0.9849,0.9773,0.9608
,,,0.9899,0.9861,0.9405
,,,0.9653,0.9654,0.9817
,,,0.2044,0.0433,0.0153
,,,0.9309,0.1338,0.0631
,,,0.9661,0.9542,0.8850
,,,0.9332,0.9167,0.9035
,,,0.1548,0.0705,0.0121
,,,0.9590,0.9161,0.7067
,,,0.9579,0.6169,0.4501
,,,0.9871,0.9811,0.8509
,,,0.9704,0.9701,0.9365
,,,0.8205,0.0021,0.0078
,,,0.1868,0.0672,0.0227
,,,0.9560,0.9355,0.9114
,,,0.9736,0.9633,0.9522
,,,0.9457,0.7319,0.3598
,,,0.9794,0.9791,0.9834
,,,0.7977,0.3426,0.0680
,,,0.9009,0.2761,0.1495
,,,0.9490,0.9343,0.9512
,,,0.9801,0.9775,0.9139
,,,0.8421,0.8203,0.8210
,,,0.9500,0.9007,0.6053
,,,0.9532,0.9500,0.9763
,,,0.9307,0.6423,0.4083
,,,0.3056,0.2215,0.1218
,,,0.9687,0.9668,0.9735
,,,0.1730,0.0690,0.0393
,,,0.9495,0.8974,0.7215
,,,0.1653,0.0677,0.0129
,,,0.1197,0.0404,0.0135
,,,0.9654,0.9625,0.9612
,,,0.9606,0.9218,0.8245
,,,0.9686,0.9692,0.9761
,,,0.3240,0.1841,0.0364
,,,0.8900,0.9292,0.8799
,,,0.0979,0.0263,0.0048
,,,0.9248,0.3867,0.5765
,,,0.9760,0.9457,0.8036
,,,0.9684,0.9568,0.7943
,,,0.3356,0.0019,0.0017
,,,0.8484,0.6037,0.2753
,,,0.9083,0.9130,0.9193
,,,0.9677,0.7267,0.3537
,,,0.9571,0.9381,0.9136
,,,0.9824,0.9800,0.8057
,,,0.8405,0.8145,0.8825
,,,0.9939,0.9841,0.8886
,,,0.7103,0.5735,0.2103
,,,0.9767,0.9766,0.9981
,,,0.2138,0.1491,0.0294
,,,0.9818,0.9708,0.9160
,,,0.9783,0.9633,0.7181
,,,0.9479,0.9389,0.9320
,,,0.9797,0.9677,0.8668
,,,0.0904,0.0561,0.0104
,,,0.9745,0.9753,0.9869
,,,0.9846,0.9661,0.7603
,,,0.9733,0.9171,0.7742
,,,0.8799,0.6861,0.3935
,,,0.9308,0.8276,0.5746
,,,0.8009,0.7988,0.6500
,,,0.8318,0.7314,0.4909
,,,0.2896,0.0006,0.0012
,,,0.9778,0.9777,0.9932
,,,0.9857,0.9812,0.9321
,,,0.1291,0.0398,0.0080
,,,0.9714,0.9660,0.8885
,,,0.8845,0.6662,0.3821
,,,0.9737,0.9732,0.9977
,,,0.9580,0.9145,0.6626
,,,0.9646,0.9637,0.8487
,,,0.9693,0.9678,0.9923
,,,0.9757,0.8969,0.5974
,,,0.9857,0.9816,0.9646
,,,0.9510,0.9515,0.9197
,,,0.9801,0.9778,0.9876
,,,0.9440,0.7267,0.2593
,,,0.9659,0.9383,0.9040
,,,0.9670,0.4370,0.1318
,,,0.9592,0.9251,0.6580
,,,0.9628,0.9481,0.7762
,,,0.1486,0.0509,0.0167
,,,0.7847,0.6075,0.3147
,,,0.2372,0.1281,0.0396
,,,0.1517,0.0341,0.0146
,,,0.2205,0.1005,0.0102
,,,0.9792,0.9764,0.9572
,,,0.0958,0.0437,0.0080
,,,0.9931,0.9776,0.9308
,,,0.8414,0.5178,0.2581
,,,0.2468,0.1462,0.0125
,,,0.1942,0.0311,0.0073
,,,0.8519,0.6816,0.5181
,,,0.6525,0.2620,0.1091
,,,0.9793,0.9775,0.9089
,,,0.9637,0.9658,0.9860
,,,0.9933,0.9890,0.9695
,,,0.9813,0.9807,0.9932
,,,0.9475,0.9208,0.7232
,,,0.8707,0.1503,0.0963
,,,0.9633,0.7298,0.2632
,,,0.9624,0.9468,0.9188
,,,0.9158,0.8720,0.8033
,,,0.1607,0.0665,0.0239
,,,0.6976,0.4235,0.2842
,,,0.9953,0.9941,0.9648
,,,0.9545,0.9429,0.7513
,,,0.9604,0.9208,0.6913
,,,0.9711,0.9586,0.9647
,,,0.9723,0.9635,0.9555
,,,0.9590,0.9562,0.9658
,,,0.9503,0.8971,0.8843
,,,0.9678,0.9665,0.9828
,,,0.9961,0.9959,0.9985
,,,0.9929,0.9911,0.9716
,,,0.9604,0.9581,0.9764
,,,0.9905,0.9875,0.9521
,,,0.3533,0.2454,0.0784
,,,0.9576,0.8642,0.4127
,,,0.9435,0.9184,0.8129
,,,0.9621,0.9554,0.9798
,,,0.9829,0.9773,0.9518
,,,0.1551,0.0402,0.0045
,,,0.1771,0.0610,0.0197
,,,0.7257,0.4050,0.2934
,,,0.3483,0.2220,0.1339
,,,0.2086,0.0714,0.0212
,,,0.9748,0.9670,0.8637
,,,0.9669,0.9456,0.8018
,,,0.9661,0.9633,0.9941
,,,0.9797,0.9778,0.9623
,,,0.8965,0.8244,0.6039
,,,0.9574,0.9489,0.8405
,,,0.9710,0.9646,0.9502
,,,0.9608,0.9475,0.8757
,,,0.7826,0.7152,0.5378
,,,0.9581,0.9490,0.7253
,,,0.9483,0.9225,0.8758
,,,0.6632,0.0020,0.0069
,,,0.9894,0.9854,0.9675
,,,0.9491,0.9537,0.9632
,,,0.9401,0.2143,0.0728
,,,0.9672,0.9650,0.9333
,,,0.1306,0.0531,0.0211
,,,0.3794,0.1522,0.0506
,,,0.9627,0.9486,0.9180
,,,0.9627,0.9592,0.9225
,,,0.9632,0.8180,0.5327
,,,0.9622,0.9628,0.9937
,,,0.9252,0.2573,0.1110
,,,0.9804,0.9814,0.9836
,,,0.9865,0.9855,0.9465
,,,0.6619,0.5080,0.2812
,,,0.4631,0.0612,0.0101
,,,0.9919,0.9917,0.9941
,,,0.9387,0.8816,0.8781
,,,0.5030,0.0877,0.0111
,,,0.2282,0.0631,0.0105
,,,0.9651,0.9321,0.6419
,,,0.3135,0.1993,0.0858
,,,0.9641,0.9614,0.9520
,,,0.9774,0.9852,0.9692
,,,0.6744,0.0943,0.0239
,,,0.9641,0.9619,0.9378
,,,0.9411,0.8365,0.7679
,,,0.9617,0.9533,0.9181
,,,0.9815,0.9690,0.8944
,,,0.9675,0.9663,0.9905
,,,0.9779,0.8380,0.4946
,,,0.0853,0.0235,0.0063
,,,0.9673,0.9667,0.9926
,,,0.9758,0.9238,0.8438
,,,0.9393,0.8444,0.4987
,,,0.2099,0.0928,0.0450
,,,0.9659,0.9633,0.9358
,,,0.9689,0.9604,0.8277
,,,0.5042,0.6718,0.4611
,,,0.9678,0.9647,0.9848
,,,0.9675,0.9667,0.9891
,,,0.8087,0.4714,0.2860
,,,0.9802,0.9753,0.9672
,,,0.2631,0.1276,0.0254
,,,0.9679,0.9669,0.9647
,,,0.9836,0.9821,0.9781
,,,0.9551,0.8684,0.8458
,,,0.3287,0.0958,0.0187
,,,0.9785,0.9785,0.9989
,,,0.5845,0.4390,0.2032
,,,0.9217,0.6758,0.5329
,,,0.9878,0.8511,0.5161
,,,0.9877,0.9876,0.9904
,,,0.9830,0.9820,0.9980
,,,0.9850,0.9669,0.8043
,,,0.9662,0.9657,0.9799
,,,0.9694,0.9522,0.9585
,,,0.4596,0.1814,0.0883
,,,0.6024,0.1624,0.1513
,,,0.8316,0.2153,0.2207
,,,0.8052,0.4262,0.3386
,,,0.9396,0.9455,0.8868
,,,0.7254,0.4132,0.2970
,,,0.2910,0.2213,0.1100
,,,0.9562,0.9568,0.9584
,,,0.6615,0.2031,0.0903
,,,0.9664,0.9667,0.9462
,,,0.9182,0.8867,0.7291
,,,0.9759,0.9725,0.9783
,,,0.9820,0.9782,0.9208
,,,0.0761,0.0329,0.0104
,,,0.9688,0.7251,0.2753
,,,0.9792,0.9679,0.9478
,,,0.1595,0.0263,0.0040
,,,0.9694,0.9348,0.7745
,,,0.9977,0.9980,0.9949
,,,0.9618,0.8434,0.6761
,,,0.9726,0.9718,0.9636
,,,0.9669,0.9600,0.9865
,,,0.2412,0.1417,0.0461
,,,0.9867,0.9786,0.9725
,,,0.1667,0.0622,0.0152
,,,0.9820,0.9439,0.8626
,,,0.9804,0.9679,0.9750
,,,0.9728,0.9696,0.8479
,,,0.9755,0.9754,0.9643
,,,0.9714,0.9703,0.9915
,,,0.9883,0.9764,0.8292
,,,0.9439,0.7950,0.4235
,,,0.9026,0.7700,0.7294
,,,0.9406,0.3473,0.3050
,,,0.9832,0.8218,0.3809
,,,0.9860,0.9865,0.9963
,,,0.9545,0.6842,0.3034
,,,0.3150,0.1119,0.0163
,,,0.9177,0.8692,0.7771
,,,0.9812,0.9731,0.9386
,,,0.3497,0.0620,0.0326
,,,0.9681,0.9615,0.9406
,,,0.9916,0.9921,0.9916
,,,0.4850,0.4161,0.2766
,,,0.9728,0.7545,0.3074
,,,0.7899,0.3242,0.1856
,,,0.2782,0.2370,0.0816
,,,0.9213,0.7477,0.4311
,,,0.7767,0.5498,0.5993
,,,0.1457,0.0509,0.0061
,,,0.9339,0.9192,0.8938
,,,0.9639,0.9191,0.8688
,,,0.9400,0.4447,0.0770
,,,0.2036,0.1004,0.0403
,,,0.9711,0.9520,0.7802
,,,0.5117,0.0000,0.0007
,,,0.9716,0.9678,0.9581
,,,0.9868,0.9852,0.9924
,,,0.9667,0.9671,0.9763
,,,0.9673,0.9669,0.9813
,,,0.9325,0.9343,0.9169
,,,0.9729,0.9725,0.9836
,,,0.7531,0.7670,0.6549
,,,0.9789,0.9785,0.9965
,,,0.2061,0.0691,0.0313
,,,0.8748,0.4518,0.1079
,,,0.9596,0.9348,0.7107
,,,0.8159,0.0248,0.0011
,,,0.9770,0.9745,0.9822
,,,0.9798,0.9703,0.9442
,,,0.9822,0.9815,0.9850
,,,0.9743,0.9730,0.9612
,,,0.9598,0.9500,0.9274
,,,0.4388,0.2827,0.0716
,,,0.8821,0.8096,0.4189
,,,0.9822,0.9822,0.9909
,,,0.9663,0.9403,0.6846
,,,0.9575,0.8817,0.8117
,,,0.4917,0.4055,0.3672
,,,0.9925,0.9935,0.9427
,,,0.9929,0.9907,0.9751
,,,0.9865,0.9862,0.9933
,,,0.9650,0.9524,0.8204
,,,0.9694,0.9413,0.7317
,,,0.9947,0.9928,0.9833
,,,0.1328,0.0622,0.0231
,,,0.6442,0.4324,0.2053
,,,0.9299,0.9079,0.7638
,,,0.9670,0.9620,0.9391
,,,0.9809,0.9759,0.9218
,,,0.9712,0.9631,0.9278
,,,0.8960,0.9421,0.7769
,,,0.9156,0.9292,0.8204
,,,0.9620,0.9611,0.9571
,,,0.9763,0.9752,0.9862
,,,0.9781,0.9734,0.9884
,,,0.9424,0.9301,0.9019
,,,0.9755,0.9685,0.9609
,,,0.9838,0.9828,0.9942
,,,0.9753,0.1779,0.0874
,,,0.9760,0.9759,0.9639
,,,0.1850,0.0838,0.0197
,,,0.9929,0.9880,0.9588
,,,0.9016,0.8371,0.6642
,,,0.9875,0.9869,0.9930
,,,0.9351,0.5849,0.4577
,,,0.9712,0.9709,0.9820
,,,0.9810,0.9798,0.9931
,,,0.9938,0.9750,0.7735
,,,0.9636,0.9585,0.9423
,,,0.9834,0.9591,0.7608
,,,0.9769,0.9623,0.8578
,,,0.9569,0.9577,0.9711
,,,0.7503,0.1057,0.0524
,,,0.9728,0.9266,0.7266
,,,0.9696,0.9648,0.9197
,,,0.2227,0.1245,0.0772
,,,0.9703,0.9693,0.9583
,,,0.9066,0.6169,0.2922
,,,0.9668,0.9668,0.9938
,,,0.9423,0.9190,0.7170
,,,0.8681,0.8192,0.6243
,,,0.1706,0.0706,0.0195
,,,0.9599,0.9057,0.5335
,,,0.9776,0.9745,0.9184
,,,0.9494,0.7990,0.5235
,,,0.3084,0.2140,0.0429
,,,0.9091,0.4025,0.2763
,,,0.9669,0.9658,0.9616
,,,0.9828,0.9790,0.9037
,,,0.9684,0.9683,0.9911
,,,0.9622,0.9543,0.9494
,,,0.9885,0.8880,0.5288
,,,0.9463,0.6644,0.1392
,,,0.9756,0.9710,0.9625
,,,0.2101,0.0939,0.0073
,,,0.9906,0.9872,0.9722
,,,0.8727,0.7147,0.4930
,,,0.9761,0.9747,0.9738
,,,0.9039,0.8086,0.7880
,,,0.9745,0.9705,0.9690
,,,0.5141,0.0100,0.0089
,,,0.1741,0.0652,0.0172
,,,0.9791,0.9727,0.9870
,,,0.9537,0.9542,0.9147
,,,0.9913,0.9893,0.9662
,,,0.9597,0.9468,0.9669
,,,0.9588,0.9536,0.9509
,,,0.9798,0.9799,0.9996
,,,0.9550,0.9289,0.8437
,,,0.9309,0.7855,0.7696
,,,0.2032,0.0572,0.0114
,,,0.0968,0.0354,0.0126
,,,0.9775,0.9709,0.9658
,,,0.4321,0.0281,0.0158
,,,0.9843,0.9842,0.9891
,,,0.9845,0.9849,0.9544
,,,0.9442,0.9359,0.8854
,,,0.8600,0.8193,0.6130
,,,0.9821,0.9783,0.9733
,,,0.9638,0.9443,0.8626
,,,0.7947,0.2712,0.1349
,,,0.9655,0.9454,0.7559
,,,0.4303,0.0001,0.0001
,,,0.9493,0.9274,0.9657
,,,0.8194,0.2952,0.0842
,,,0.9783,0.9763,0.9804
,,,0.9352,0.9333,0.8753
,,,0.9663,0.9672,0.9637
,,,0.9801,0.9741,0.9336
,,,0.9628,0.9482,0.9526
,,,0.9823,0.9832,0.9663
,,,0.9779,0.9749,0.9785
,,,0.9596,0.9512,0.9030
,,,0.1765,0.0564,0.0118
,,,0.9803,0.9736,0.9815
,,,0.9448,0.9404,0.8644
,,,0.9729,0.9630,0.9619
,,,0.9649,0.9652,0.9706
,,,0.9626,0.9633,0.9966
,,,0.9668,0.9661,0.9656
,,,0.9632,0.9578,0.9822
,,,0.9593,0.9182,0.6826
,,,0.9406,0.5698,0.1465
,,,0.7996,0.1121,0.0250
,,,0.9473,0.8355,0.6914
,,,0.1236,0.0431,0.0250
